AGNO,RBD,NOM_RBD,COD_REG_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,RURAL_RBD,ESTADO_ESTAB,COD_ENSE,COD_ENSE2,COD_ENSE3,COD_GRADO,COD_GRADO2,LET_CUR,COD_JOR,MRUN,GEN_ALU,FEC_NAC_ALU,EDAD_ALU,EJEMPLO
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,3745059,2,200606,13,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,3779773,1,200309,15,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,5351155,2,200602,13,"3,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,5971107,2,200312,15,"3,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,8152318,1,200411,14,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,9450792,1,200605,13,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,10187095,1,200411,14,"3,3"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,11559222,1,200505,14,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,12531600,2,200601,13,"3,6"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,13136316,2,200504,14,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,13787671,2,200411,14,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,16355869,2,200510,13,"3,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,18446427,1,200503,14,"3,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,18504854,2,200507,13,"3,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,18927166,1,200409,14,"3,1"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,19631801,1,200605,13,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,20082118,1,200507,13,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,20374363,1,200510,13,"3,0"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,20398934,2,200603,13,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,22476227,2,200411,14,"3,5"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,22866118,2,200510,13,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,25608521,1,200603,13,"3,4"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,25626105,1,200401,15,"3,9"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,25711966,1,200612,12,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,25713033,1,200510,13,"3,7"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,25813416,1,200312,15,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,25841835,1,200601,13,"3,8"
2019,516,LICEO GABRIELA MISTRAL DE LA SERENA,,LA SERENA,41,ELQUI,0,1,110,2,2,8,8,A,3,25849495,2,200409,14,"3,1"
